epoch,stage,attempt,class,action
1785492202,T-001,1,success,commit
1785492760,T-002,0,rule:javax-to-jakarta-import-00001,worker_green
1785493908,T-003,0,escalation_cause,guard-refused
1785494161,T-003,1,success,commit
1785494171,T-003,0,rule:javax-to-jakarta-import-00001,escalation
1785494487,T-004,0,sensor_red_post_commit,verify
1785494578,T-004,0,style_autofix,partial
1785495223,T-004,0,rule:springboot-annotations-to-quarkus-00002,worker_green
1785495419,T-005,0,escalation_cause,guard-refused
1785495558,T-005,1,success,commit
1785495564,T-005,0,sfixscope_reset,task_red
1785495581,T-005,2,no_commit,retrying
1785495581,T-005,0,rule:springboot-annotations-to-quarkus-00002,exhausted
1785495638,T-006,0,already_complete,absent:EntityUtils
1785496043,T-007,0,sensor_red_post_commit,verify
1785497647,T-008,0,sensor_red_post_commit,verify
1785497809,T-008,0,style_autofix,partial
1785498731,T-009,0,already_complete,absent:EntityUtilsMigrationTest
1785499688,m5-evaluate,1,success,commit
1785499752,m5-ship,0,preflight_red,round=1
1785500655,preflightfix-r1,1,timeout,retrying
1785500919,preflightfix-r1,2,success,commit
1785501355,m5-ship,0,pipeline_succeeded,petclinic-rest-v1-push-99rvq
1785501355,m5-ship,0,story_gate_pass,non-deploy story
1785503959,T-002,0,sensor_red_post_commit,verify
1785504185,T-002,0,style_autofix,partial
1785506401,T-004,0,sensor_red_post_commit,verify
1785507160,T-004,0,debt_recorded,milestone
1785507982,T-005,0,escalation_cause,worker-failed
1785509981,T-005,0,worker_wedge_class,JSON_STALE
1785509982,T-005,0,escalation_cause,worker-failed
1785510561,T-005,1,success,commit
1785510604,T-007,0,escalation_cause,worker-failed
1785510894,T-007,1,quota,retrying
1785512209,T-007,1,success,commit
1785512233,T-007,0,sensor_red_post_commit,verify
1785512269,T-007,0,style_autofix,partial
1785513176,T-007,0,debt_recorded,milestone
1785515592,T-009,0,worker_wedge_class,READ_THRASH
1785515592,T-009,0,escalation_cause,worker-failed
1785516209,T-009,0,escalation_cause,worker-failed
1785516259,T-009,1,orphan_worker,retrying
1785516339,T-009,0,already_complete,JpaRepositoryImpl-cdi(7)
1785516734,T-011,0,worker_wedge_class,READ_THRASH
1785516734,T-011,0,escalation_cause,worker-failed
1785517080,T-011,1,success,commit
1785517238,T-011,0,sensor_red_post_commit,verify
1785517406,T-011,0,style_autofix,partial
1785518456,T-011,0,sfix_committed_still_red,verify
1785518456,T-011,0,debt_recorded,milestone
1785519060,T-012,0,worker_wedge_class,JSON_STALE
1785519060,T-012,0,escalation_cause,worker-failed
1785519688,T-012,1,success,commit
1785519710,T-013,0,already_complete,absent:PetRestController
1785519721,T-014,0,already_complete,absent:ApplicationSwaggerConfig
1785519722,T-014,0,sensor_red_post_commit,verify
1785519744,T-014,0,style_autofix,partial
1785520377,T-013,0,worker_wedge_class,JSON_STALE
1785520377,T-013,0,escalation_cause,worker-failed
1785521042,T-013,1,success,commit
1785521064,T-014,0,already_complete,absent:ApplicationSwaggerConfig
1785521438,T-015,0,worker_wedge_class,JSON_STALE
1785521438,T-015,0,escalation_cause,worker-failed
1785521983,T-015,1,success,commit
1785521993,T-015,0,sensor_red_post_commit,verify
1785522014,T-015,0,style_autofix,partial
1785522918,T-015,0,sfix_committed_still_red,verify
