session,start,end,seconds,rc
T-001-a1p0,1785492006,1785492202,196,rc=0
T-003-a1p0,1785493908,1785494161,253,rc=0
T-004-sfix,1785494579,1785495024,445,rc=130
T-005-a1p0,1785495419,1785495558,139,rc=130
T-005-a2p0,1785495564,1785495581,17,rc=130
T-007-sfix,1785496204,1785496847,643,rc=0
T-008-sfix,1785497809,1785498527,718,rc=0
m5-evaluate-a1p0,1785499389,1785499688,299,rc=0
preflightfix-r1-a1p0,1785499752,1785500655,903,rc=124
preflightfix-r1-a2p0,1785500655,1785500919,264,rc=0
retro,1785501355,1785501443,88,rc=0
T-002-sfix,1785504185,1785504921,736,rc=0
T-004-sfix,1785506422,1785507160,738,rc=0
T-005-a1p0,1785509982,1785510561,579,rc=0
T-007-a1p0,1785510604,1785510894,290,rc=0
T-007-a1p1,1785511794,1785512209,415,rc=0
T-007-sfix,1785512269,1785513171,902,rc=124
T-009-a1p0,1785516209,1785516259,50,rc=137
T-011-a1p0,1785516734,1785517080,346,rc=0
T-011-sfix,1785517407,1785518308,901,rc=124
T-012-a1p0,1785519060,1785519688,628,rc=0
T-013-a1p0,1785520377,1785521042,665,rc=0
T-015-a1p0,1785521438,1785521983,545,rc=0
T-015-sfix,1785522014,1785522917,903,rc=124
treefix,1785523043,1785523123,80,rc=0
T-016-a1p0,1785523487,1785524823,1336,rc=0
T-017-a1p0,1785525177,1785525750,573,rc=130
T-017-a2p0,1785525750,1785525814,64,rc=130
T-018-a1p0,1785525964,1785526478,514,rc=130
T-018-a2p0,1785526478,1785526499,21,rc=130
T-019-a1p0,1785526766,1785526971,205,rc=130
T-019-a2p0,1785526971,1785527016,45,rc=130
m5-evaluate-a1p0,1785527427,1785527499,72,rc=0
m5-evaluate-sfix,1785527725,1785528628,903,rc=124
preflightfix-r1-a1p0,1785530515,1785531050,535,rc=0
preflightfix-r1-a2p0,1785531050,1785531332,282,rc=0
preflightfix-r1-a2p1,1785532232,1785533134,902,rc=124
preflightfix-r2-a1p0,1785533216,1785533713,497,rc=0
preflightfix-r2-a1p1,1785534613,1785535256,643,rc=0
preflightfix-r2-a2p1,1785535256,1785535693,437,rc=0
buildfix-r1-a1p0,1785535755,1785535975,220,rc=0
gatefix-r1-a1p0,1785536159,1785536476,317,rc=0
gatefix-r1-a1p1,1785537376,1785540030,2654,rc=0
gatefix-r1-sfix,1785540114,1785541016,902,rc=124
preflightfix-r1-a1p0,1785541480,1785541730,250,rc=0
preflightfix-r2-a1p0,1785542099,1785543001,902,rc=124
deployfix-r1-a1p0,1785544079,1785544661,582,rc=0
deployfix-r2-a1p0,1785545523,1785545540,17,rc=130
deployfix-r2-a2p0,1785545540,1785545701,161,rc=137
